Ticker,Name,Sector,Industry,Market Cap,Trailing PE,Forward PE,Price to Book,Profit Margin,Revenue Growth,Earnings Growth,Debt to Equity,Dividend Yield,Beta
AAPL,Apple Inc.,Technology,Consumer Electronics,4109006274560.0,33.915257,29.386591,46.70557,0.27152002,0.166,0.218,79.548,0.39,
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3078640631808.0,24.69845,21.452034,7.876841,0.39341998,0.183,0.234,30.271,0.88,1.107
NVDA,NVIDIA Corporation,Technology,Semiconductors,4823327440896.0,40.5,17.656982,30.662855,0.55603004,0.732,0.956,7.255,0.02,2.335
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2884935614464.0,32.050182,27.303652,7.003081,0.12224,0.166,0.748,47.495,,1.383
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,4672805404672.0,29.419529,28.510286,11.227258,0.37919,0.218,0.82,20.026,0.22,1.128
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1545252503552.0,22.120094,16.826385,7.089394,0.32837,0.331,0.624,35.608,0.34,1.309
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1467812020224.0,358.55045,154.14774,17.848108,0.03946,0.158,0.083,18.738,,1.915
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,837263360000.0,14.950718,13.290585,2.4339461,0.33936,0.127,0.172,,1.92,1.043
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,634914471936.0,25.715488,15.022768,2.4609709,0.089049995,-0.013,-0.11,18.936,2.7,0.288
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,546895626240.0,26.32561,17.874283,6.7345486,0.21834,0.099,-0.529,67.73,2.36,0.329
VFIAX,Vanguard 500 Index Fd Admiral S,,,,28.604923,,1.7081314,,,,,1.18,
VTSAX,Vanguard Total Stock Market Ind,,,,27.776503,,1.2395883,,,,,1.16,
VBTLX,Vanguard Total Bond Market Inde,,,,,,,,,,,3.95,
VIMAX,Vanguard Mid-Cap Index Fund Adm,,,,24.497406,,2.5047147,,,,,1.5,
VSMAX,Vanguard Small Cap Index Fd Adm,,,,22.137138,,0.9689399,,,,,1.33,
VGSLX,Vanguard Real Estate Index Fund,,,,32.325294,,2.3410363,,,,,3.93,
VTIAX,Vanguard Total International St,,,,18.232603,,,,,,,2.95,
GLD,SPDR Gold Shares,,,,,,2.4890451,,,,,0.0,
SLV,iShares Silver Trust,,,,,,3.1988945,,,,,0.0,
USO,United States Oil Fund,,,,43.20726,,2.06666,,,,,0.0,
TLT,iShares 20+ Year Treasury Bond ,,,,,-4280.5,0.5750848,,,,,4.49,
BND,Vanguard Total Bond Market ETF,,,,,,,,,,,3.91,
BTC-USD,Bitcoin USD,,,1567712346112.0,,,,,,,,,
ETH-USD,Ethereum USD,,,278510764032.0,,,,,,,,,
